DATE,CPIAUCSL_PC1_GDPC1_PC1,GDPC1_PC1
1980-01-01,12.78924,1.42078
1980-04-01,15.20083,-0.77506
1980-07-01,14.55912,-1.62380
1980-10-01,12.57749,-0.03913
1981-01-01,9.66109,1.59998
1981-04-01,6.90482,2.96870
1981-07-01,6.52725,4.32577
1981-10-01,8.28327,1.29990
1982-01-01,9.77185,-2.19035
1982-04-01,7.91737,-1.01057
1982-07-01,8.37239,-2.55592
1982-10-01,5.88681,-1.44316
1983-01-01,2.16262,1.43146
1983-04-01,0.03123,3.26853
1983-07-01,-3.21071,5.73717
1983-10-01,-4.66648,7.89997
1984-01-01,-3.95243,8.57828
1984-04-01,-3.59186,7.99670
1984-07-01,-2.60514,6.90084
1984-10-01,-1.42150,5.57580
1985-01-01,-0.91400,4.55509
1985-04-01,-0.07713,3.68422
1985-07-01,-0.90995,4.26244
1985-10-01,-0.66850,4.18227
1986-01-01,-1.04019,4.14559
1986-04-01,-2.02300,3.70158
1986-07-01,-1.45103,3.11924
1986-10-01,-1.56246,2.90803
1987-01-01,-0.67751,2.71584
1987-04-01,0.34069,3.35848
1987-07-01,0.89594,3.26693
1987-10-01,-0.07347,4.47902
1988-01-01,-0.27678,4.24219
1988-04-01,-0.50465,4.48460
1988-07-01,-0.05051,4.19287
1988-10-01,0.50739,3.79897
1989-01-01,0.35927,4.31524
1989-04-01,1.41190,3.74829
1989-07-01,0.79777,3.90811
1989-10-01,1.88352,2.74380
1990-01-01,2.41158,2.82130
1990-04-01,2.17068,2.41277
1990-07-01,3.83725,1.72722
1990-10-01,5.67362,0.60286
1991-01-01,6.20929,-0.95024
1991-04-01,5.38550,-0.53889
1991-07-01,3.95472,-0.10272
1991-10-01,1.79886,1.16650
1992-01-01,0.03502,2.85887
1992-04-01,-0.09624,3.16976
1992-07-01,-0.59065,3.66532
1992-10-01,-1.26062,4.38259
1993-01-01,-0.14690,3.31998
1993-04-01,0.31833,2.80667
1993-07-01,0.53071,2.28652
1993-10-01,0.16168,2.60762
1994-01-01,-0.89091,3.43052
1994-04-01,-1.84280,4.22540
1994-07-01,-1.48161,4.33678
1994-10-01,-1.51260,4.11593
1995-01-01,-0.64087,3.48113
1995-04-01,0.69318,2.40217
1995-07-01,-0.00913,2.67311
1995-10-01,0.42673,2.19958
1996-01-01,0.18282,2.60110
1996-04-01,-1.17504,4.00213
1996-07-01,-1.14979,4.04992
1996-10-01,-1.18991,4.42131
1997-01-01,-1.36916,4.31413
1997-04-01,-2.00628,4.30807
1997-07-01,-2.44875,4.67380
1997-10-01,-2.59692,4.48768
1998-01-01,-3.37245,4.85501
1998-04-01,-2.51240,4.09573
1998-07-01,-2.50158,4.09777
1998-10-01,-3.35377,4.87954
1999-01-01,-3.13462,4.82186
1999-04-01,-2.61514,4.72753
1999-07-01,-2.45375,4.80021
1999-10-01,-2.20781,4.82763
2000-01-01,-0.96817,4.22596
2000-04-01,-1.95085,5.24468
2000-07-01,-0.50518,3.97408
2000-10-01,0.54188,2.90162
2001-01-01,1.21422,2.19554
2001-04-01,2.33298,0.99193
2001-07-01,2.19088,0.48735
2001-10-01,1.70424,0.17064
2002-01-01,-0.09705,1.32881
2002-04-01,-0.00560,1.32288
2002-07-01,-0.56439,2.14067
2002-10-01,0.26223,1.99129
2003-01-01,1.30022,1.67619
2003-04-01,0.04895,1.95699
2003-07-01,-1.02302,3.23991
2003-10-01,-2.29324,4.29508
2004-01-01,-2.53553,4.35338
2004-04-01,-1.44894,4.23481
2004-07-01,-0.81597,3.49083
2004-10-01,0.02918,3.35577
2005-01-01,-0.87345,3.90862
2005-04-01,-0.68447,3.60741
2005-07-01,0.37208,3.44767
2005-10-01,0.69201,2.98267
2006-01-01,0.46601,3.22486
2006-04-01,0.94700,2.97727
2006-07-01,1.01183,2.32829
2006-10-01,-0.64350,2.60890
2007-01-01,0.89093,1.54072
2007-04-01,0.72665,1.93864
2007-07-01,-0.04959,2.39856
2007-10-01,1.87026,2.16088
2008-01-01,2.69024,1.44680
2008-04-01,2.93029,1.38013
2008-07-01,5.01030,0.24220
2008-10-01,4.13614,-2.54034
2009-01-01,3.09815,-3.28239
2009-04-01,3.05336,-3.99550
2009-07-01,1.53072,-3.13768
2009-10-01,1.40600,0.08166
2010-01-01,0.58411,1.76846
2010-04-01,-1.15220,2.92747
2010-07-01,-2.14631,3.34919
2010-10-01,-1.55867,2.78845
2011-01-01,0.11761,2.03061
2011-04-01,1.60820,1.73791
2011-07-01,2.79773,0.91822
2011-10-01,1.82204,1.52269
2012-01-01,0.22907,2.60025
2012-04-01,-0.48590,2.37382
2012-07-01,-0.90776,2.59262
2012-10-01,0.33751,1.56606
2013-01-01,0.12390,1.61630
2013-04-01,0.11855,1.29617
2013-07-01,-0.41489,1.91984
2013-10-01,-1.32475,2.53205
2014-01-01,0.13585,1.29406
2014-04-01,-0.37166,2.45200
2014-07-01,-1.04049,2.83146
2014-10-01,-1.39975,2.56376
2015-01-01,-3.87409,3.76120
2015-04-01,-3.00284,3.03985
2015-07-01,-2.02406,2.18267
2015-10-01,-1.47421,1.87468
2016-01-01,-0.65635,1.64819
2016-04-01,-0.25760,1.36763
2016-07-01,-0.49111,1.64826
2016-10-01,-0.19720,2.00418
2017-01-01,0.74471,1.84242
2017-04-01,-0.15632,2.04691
2017-07-01,-0.33160,2.27654
2017-10-01,-0.68654,2.79432
2018-01-01,-0.84250,3.06350
2018-04-01,-0.57437,3.26198
2018-07-01,-0.51082,3.15398
2018-10-01,-0.10756,2.31258
2019-01-01,-0.54006,2.16023
2019-04-01,-0.29974,2.13554
2019-07-01,-0.53649,2.30583
2019-10-01,-0.55619,2.57263
2020-01-01,1.28236,0.82008
2020-04-01,8.79538,-8.35064
2020-07-01,3.27786,-2.02401
2020-10-01,2.71671,-1.51662
2021-01-01,0.70532,1.19194
2021-04-01,-7.64762,12.46085
2021-07-01,0.33490,4.95565
2021-10-01,1.00415,5.71710
2022-01-01,4.31671,3.68368
2022-04-01,6.78459,1.79604
2022-07-01,6.37547,1.94214
2022-10-01,.,.
